OBJECTID,DESCRIPTION,ID,MEDAGE_CY,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1522,95713 (Colfax),95713,48.2,48.2,269447500.0,125634.86592567414,1756054174172,Synapse54,1756054174172,Synapse54
1523,95714 (Dutch Flat),95714,54.4,54.4,29186250.0,32660.116376736172,1756054174172,Synapse54,1756054174172,Synapse54
1524,95715 (Emigrant Gap),95715,55.6,55.6,259836250.0,85409.20461492549,1756054174172,Synapse54,1756054174172,Synapse54
1525,95717 (Gold Run),95717,54.5,54.5,33553750.0,40350.76604561513,1756054174172,Synapse54,1756054174172,Synapse54
1526,95720 (Kyburz),95720,54.7,54.7,569780031.6445312,147155.07833030671,1756054174172,Synapse54,1756054174172,Synapse54
1527,95721 (Echo Lake),95721,61.9,61.9,37247468.35546875,52769.58666826773,1756054174172,Synapse54,1756054174172,Synapse54
1528,95722 (Meadow Vista),95722,52.2,52.2,43053750.0,37878.58603150203,1756054174172,Synapse54,1756054174172,Synapse54
1529,95724 (Norden),95724,47.3,47.3,394720000.0,150706.46155323106,1756054174172,Synapse54,1756054174172,Synapse54
1530,95726 (Pollock Pines),95726,47.8,47.8,766521250.0,188687.86664771705,1756054174172,Synapse54,1756054174172,Synapse54
1531,95728 (Soda Springs),95728,43.7,43.7,944913903.609375,203000.99790322833,1756054174172,Synapse54,1756054174172,Synapse54
1532,95735 (Twin Bridges),95735,56.3,56.3,73393750.0,44606.306685851145,1756054174172,Synapse54,1756054174172,Synapse54
1533,95736 (Weimar),95736,39.5,39.5,813750.0,4046.0207570789926,1756054174172,Synapse54,1756054174172,Synapse54
1534,95742 (Rancho Cordova),95742,36.6,36.6,181048750.0,59789.337371443515,1756054174172,Synapse54,1756054174172,Synapse54
1535,95746 (Granite Bay),95746,48.5,48.5,102440000.0,50350.44830283132,1756054174172,Synapse54,1756054174172,Synapse54
1536,95747 (Roseville),95747,41.3,41.3,194900000.0,74611.50740790274,1756054174172,Synapse54,1756054174172,Synapse54
1537,95757 (Elk Grove),95757,37.9,37.9,301831250.0,85040.45475534158,1756054174172,Synapse54,1756054174172,Synapse54
1538,95758 (Elk Grove),95758,38.8,38.8,56085000.0,40206.08030133203,1756054174172,Synapse54,1756054174172,Synapse54
1539,95762 (El Dorado Hills),95762,45.8,45.8,187778850.0,92637.36751313932,1756054174172,Synapse54,1756054174172,Synapse54
1540,95765 (Rocklin),95765,38.6,38.6,48570000.0,34991.7272331468,1756054174172,Synapse54,1756054174172,Synapse54
1541,95776 (Woodland),95776,35.9,35.9,443322500.0,113995.97382319871,1756054174172,Synapse54,1756054174172,Synapse54
1542,95811 (Sacramento),95811,36.5,36.5,9216250.0,22000.973334864233,1756054174172,Synapse54,1756054174172,Synapse54
1543,95814 (Sacramento),95814,37.5,37.5,6887500.0,11653.382799852743,1756054174172,Synapse54,1756054174172,Synapse54
1544,95815 (Sacramento),95815,35.0,35.0,31586250.0,26169.921296911758,1756054174172,Synapse54,1756054174172,Synapse54
1545,95816 (Sacramento),95816,36.4,36.4,11871250.0,17480.2047868147,1756054174172,Synapse54,1756054174172,Synapse54
1546,95817 (Sacramento),95817,35.3,35.3,10328750.0,18189.632186419753,1756054174172,Synapse54,1756054174172,Synapse54
1547,95818 (Sacramento),95818,38.9,38.9,16980000.0,19709.907955499224,1756054174172,Synapse54,1756054174172,Synapse54
1548,95819 (Sacramento),95819,37.5,37.5,15865000.0,23666.405921403926,1756054174172,Synapse54,1756054174172,Synapse54
1549,95820 (Sacramento),95820,36.5,36.5,22040000.0,23021.885596977525,1756054174172,Synapse54,1756054174172,Synapse54
1550,95821 (Sacramento),95821,37.2,37.2,30021250.0,28573.046036380852,1756054174172,Synapse54,1756054174172,Synapse54
1551,95822 (Sacramento),95822,38.2,38.2,36741250.0,29483.39428825075,1756054174172,Synapse54,1756054174172,Synapse54
1552,95823 (Sacramento),95823,33.8,33.8,48707500.0,34191.34848217123,1756054174172,Synapse54,1756054174172,Synapse54
1553,95824 (Sacramento),95824,33.8,33.8,16821250.0,20494.85762361166,1756054174172,Synapse54,1756054174172,Synapse54
1554,95825 (Sacramento),95825,34.4,34.4,19113750.0,23499.406656383573,1756054174172,Synapse54,1756054174172,Synapse54
1555,95826 (Sacramento),95826,34.9,34.9,44070000.0,30632.301791768255,1756054174172,Synapse54,1756054174172,Synapse54
1556,95827 (Sacramento),95827,37.0,37.0,35310000.0,47386.94619871486,1756054174172,Synapse54,1756054174172,Synapse54
1557,95828 (Sacramento),95828,37.0,37.0,53838750.0,34032.19269742351,1756054174172,Synapse54,1756054174172,Synapse54
1558,95829 (Sacramento),95829,38.3,38.3,84833750.0,41097.43720832034,1756054174172,Synapse54,1756054174172,Synapse54
1559,95830 (Sacramento),95830,47.4,47.4,55861250.0,36967.929063226,1756054174172,Synapse54,1756054174172,Synapse54
1560,95831 (Sacramento),95831,44.7,44.7,31603750.0,24686.663775820067,1756054174172,Synapse54,1756054174172,Synapse54
1561,95832 (Sacramento),95832,31.9,31.9,35100000.0,33557.41866802457,1756054174172,Synapse54,1756054174172,Synapse54
1562,95833 (Sacramento),95833,35.1,35.1,37767500.0,32768.091673580464,1756054174172,Synapse54,1756054174172,Synapse54
1563,95834 (Sacramento),95834,34.8,34.8,46558750.0,36078.55315940609,1756054174172,Synapse54,1756054174172,Synapse54
1564,95835 (Sacramento),95835,37.9,37.9,41877500.0,30358.83710831256,1756054174172,Synapse54,1756054174172,Synapse54
1565,95836 (Sacramento),95836,55.0,55.0,57866441.54296875,47944.66018388775,1756054174172,Synapse54,1756054174172,Synapse54
1566,95837 (Sacramento),95837,42.2,42.2,76803750.0,41576.5640575388,1756054174172,Synapse54,1756054174172,Synapse54
1567,95838 (Sacramento),95838,32.7,32.7,37781250.0,32973.38150690615,1756054174172,Synapse54,1756054174172,Synapse54
1568,95841 (Sacramento),95841,36.4,36.4,17622500.0,26245.875181917,1756054174172,Synapse54,1756054174172,Synapse54
1569,95842 (Sacramento),95842,34.8,34.8,16712500.0,24578.57512789376,1756054174172,Synapse54,1756054174172,Synapse54
1570,95843 (Antelope),95843,35.6,35.6,28735000.0,25955.289832573824,1756054174172,Synapse54,1756054174172,Synapse54
1571,95864 (Sacramento),95864,43.5,43.5,28422500.0,26614.067541768844,1756054174172,Synapse54,1756054174172,Synapse54
1572,95901 (Marysville),95901,34.4,34.4,1064376250.0,321597.91665220965,1756054174172,Synapse54,1756054174172,Synapse54
1573,95903 (Beale AFB),95903,23.2,23.2,75622500.0,78233.4695960827,1756054174172,Synapse54,1756054174172,Synapse54
1574,95910 (Alleghany),95910,58.8,58.8,42958750.0,38477.43768087271,1756054174172,Synapse54,1756054174172,Synapse54
1575,95912 (Arbuckle),95912,36.5,36.5,882775000.0,153037.0137522481,1756054174172,Synapse54,1756054174172,Synapse54
1576,95913 (Artois),95913,44.2,44.2,13925000.0,18917.643395943374,1756054174172,Synapse54,1756054174172,Synapse54
1577,95914 (Bangor),95914,48.8,48.8,42866250.0,47983.237225264544,1756054174172,Synapse54,1756054174172,Synapse54
1578,95915 (Belden),95915,52.5,52.5,592776250.0,181721.85422969825,1756054174172,Synapse54,1756054174172,Synapse54
1579,95916 (Berry Creek),95916,55.8,55.8,711543750.0,192012.61067202198,1756054174172,Synapse54,1756054174172,Synapse54
1580,95917 (Biggs),95917,38.2,38.2,325957500.0,102614.13285290272,1756054174172,Synapse54,1756054174172,Synapse54
1581,95918 (Browns Valley),95918,52.8,52.8,264281250.0,117088.97075049093,1756054174172,Synapse54,1756054174172,Synapse54
1582,95919 (Brownsville),95919,55.2,55.2,88438750.0,67611.34231358099,1756054174172,Synapse54,1756054174172,Synapse54
1583,95920 (Butte City),95920,42.1,42.1,311472500.0,85768.45035463202,1756054174172,Synapse54,1756054174172,Synapse54
1584,95922 (Camptonville),95922,50.5,50.5,643397500.0,243521.0230492929,1756054174172,Synapse54,1756054174172,Synapse54
1585,95923 (Canyon Dam),95923,73.8,73.8,124708750.0,65534.3552412687,1756054174172,Synapse54,1756054174172,Synapse54
1586,95925 (Challenge),95925,53.5,53.5,171602500.0,88378.82444333071,1756054174172,Synapse54,1756054174172,Synapse54
1587,95926 (Chico),95926,31.4,31.4,32290000.0,27259.04734732175,1756054174172,Synapse54,1756054174172,Synapse54
1588,95928 (Chico),95928,36.2,36.2,560691250.0,219910.32778843088,1756054174172,Synapse54,1756054174172,Synapse54
1589,95930 (Clipper Mills),95930,52.2,52.2,14628750.0,20447.79318763644,1756054174172,Synapse54,1756054174172,Synapse54
1590,95932 (Colusa),95932,37.4,37.4,794188750.0,173295.43073861545,1756054174172,Synapse54,1756054174172,Synapse54
1591,95934 (Crescent Mills),95934,52.1,52.1,92736250.0,57378.262030360536,1756054174172,Synapse54,1756054174172,Synapse54
1592,95935 (Dobbins),95935,54.1,54.1,114976250.0,69574.52601885344,1756054174172,Synapse54,1756054174172,Synapse54
1593,95936 (Downieville),95936,55.5,55.5,57562500.0,45094.967011559886,1756054174172,Synapse54,1756054174172,Synapse54
1594,95937 (Dunnigan),95937,43.3,43.3,569208750.0,132336.5269626035,1756054174172,Synapse54,1756054174172,Synapse54
1595,95938 (Durham),95938,44.6,44.6,402113750.0,132866.73080534328,1756054174172,Synapse54,1756054174172,Synapse54
1596,95939 (Elk Creek),95939,53.0,53.0,962112500.0,169922.76522823007,1756054174172,Synapse54,1756054174172,Synapse54
1597,95941 (Forbestown),95941,51.3,51.3,385651250.0,139159.37766570415,1756054174172,Synapse54,1756054174172,Synapse54
1598,95942 (Forest Ranch),95942,51.9,51.9,631346250.0,265706.15837656514,1756054174172,Synapse54,1756054174172,Synapse54
1599,95943 (Glenn),95943,42.3,42.3,272260000.0,154286.88076208395,1756054174172,Synapse54,1756054174172,Synapse54
1600,95944 (Goodyears Bar),95944,58.3,58.3,182290000.0,72810.78026039762,1756054174172,Synapse54,1756054174172,Synapse54
1601,95945 (Grass Valley),95945,49.6,49.6,371538750.0,173796.49520525985,1756054174172,Synapse54,1756054174172,Synapse54
1602,95946 (Penn Valley),95946,56.9,56.9,239075000.0,126909.313153586,1756054174172,Synapse54,1756054174172,Synapse54
1603,95947 (Greenville),95947,54.8,54.8,952248750.0,223062.60645285703,1756054174172,Synapse54,1756054174172,Synapse54
1604,95948 (Gridley),95948,37.7,37.7,329837500.0,102061.63050111485,1756054174172,Synapse54,1756054174172,Synapse54
1605,95949 (Grass Valley),95949,53.1,53.1,536580000.0,146002.65172687123,1756054174172,Synapse54,1756054174172,Synapse54
1606,95951 (Hamilton City),95951,36.7,36.7,36748750.0,36145.24605457626,1756054174172,Synapse54,1756054174172,Synapse54
1607,95953 (Live Oak),95953,36.7,36.7,387705000.0,136567.5869772023,1756054174172,Synapse54,1756054174172,Synapse54
1608,95954 (Magalia),95954,50.1,50.1,511798750.0,195877.2344428403,1756054174172,Synapse54,1756054174172,Synapse54
1609,95955 (Maxwell),95955,39.8,39.8,197847500.0,85763.67414210895,1756054174172,Synapse54,1756054174172,Synapse54
1610,95956 (Meadow Valley),95956,65.3,65.3,110985000.0,66347.43579689745,1756054174172,Synapse54,1756054174172,Synapse54
1611,95957 (Meridian),95957,46.7,46.7,515290000.0,160751.3441660906,1756054174172,Synapse54,1756054174172,Synapse54
1612,95959 (Nevada City),95959,53.7,53.7,1309498750.0,264177.0558312515,1756054174172,Synapse54,1756054174172,Synapse54
1613,95960 (North San Juan),95960,48.9,48.9,162508750.0,118533.95305903343,1756054174172,Synapse54,1756054174172,Synapse54
1614,95961 (Olivehurst),95961,33.7,33.7,172343750.0,95725.85025165163,1756054174172,Synapse54,1756054174172,Synapse54
1615,95962 (Oregon House),95962,56.6,56.6,84986250.0,80261.54460649929,1756054174172,Synapse54,1756054174172,Synapse54
1616,95963 (Orland),95963,38.1,38.1,1824236250.0,333226.8243558765,1756054174172,Synapse54,1756054174172,Synapse54
1617,95965 (Oroville),95965,37.8,37.8,1768603750.0,433392.00460478885,1756054174172,Synapse54,1756054174172,Synapse54
1618,95966 (Oroville),95966,43.9,43.9,834593750.0,219881.64552418253,1756054174172,Synapse54,1756054174172,Synapse54
1619,95968 (Palermo),95968,40.1,40.1,8911250.0,20194.79253812255,1756054174172,Synapse54,1756054174172,Synapse54
1620,95969 (Paradise),95969,55.6,55.6,214893750.0,123443.3648581782,1756054174172,Synapse54,1756054174172,Synapse54
1621,95970 (Princeton),95970,42.6,42.6,127470000.0,66455.9191875051,1756054174172,Synapse54,1756054174172,Synapse54
1622,95971 (Quincy),95971,45.4,45.4,1460256250.0,326261.01148291584,1756054174172,Synapse54,1756054174172,Synapse54
1623,95972 (Rackerby),95972,52.7,52.7,49852500.0,46695.67958515334,1756054174172,Synapse54,1756054174172,Synapse54
1624,95973 (Chico),95973,39.1,39.1,1078016250.0,204219.27604400416,1756054174172,Synapse54,1756054174172,Synapse54
1625,95974 (Richvale),95974,41.7,41.7,3991250.0,8970.01682064996,1756054174172,Synapse54,1756054174172,Synapse54
1626,95975 (Rough and Ready),95975,54.6,54.6,40918750.0,43992.488771469056,1756054174172,Synapse54,1756054174172,Synapse54
1627,95977 (Smartsville),95977,47.6,47.6,133058750.0,94585.48268639762,1756054174172,Synapse54,1756054174172,Synapse54
1628,95978 (Stirling City),95978,45.8,45.8,5045000.0,11068.896978561097,1756054174172,Synapse54,1756054174172,Synapse54
1629,95979 (Stonyford),95979,59.6,59.6,1379040000.0,212173.33007955065,1756054174172,Synapse54,1756054174172,Synapse54
1630,95981 (Strawberry Valley),95981,55.8,55.8,1072007500.0,212188.90942934467,1756054174172,Synapse54,1756054174172,Synapse54
1631,95982 (Sutter),95982,40.1,40.1,310490000.0,129793.4918860414,1756054174172,Synapse54,1756054174172,Synapse54
1632,95983 (Taylorsville),95983,58.2,58.2,478041250.0,179058.54220855024,1756054174172,Synapse54,1756054174172,Synapse54
1633,95984 (Twain),95984,44.4,44.4,496276250.0,169788.81439838515,1756054174172,Synapse54,1756054174172,Synapse54
1634,95987 (Williams),95987,33.5,33.5,1507826250.0,214977.6526284945,1756054174172,Synapse54,1756054174172,Synapse54
1635,95988 (Willows),95988,38.3,38.3,1847288750.0,271472.87235339556,1756054174172,Synapse54,1756054174172,Synapse54
1636,95991 (Yuba City),95991,35.2,35.2,179482500.0,100651.52950765089,1756054174172,Synapse54,1756054174172,Synapse54
1637,95993 (Yuba City),95993,40.0,40.0,356576250.0,91511.11117874125,1756054174172,Synapse54,1756054174172,Synapse54
1638,96001 (Redding),96001,42.2,42.2,464295475.64453125,203090.12987046404,1756054174172,Synapse54,1756054174172,Synapse54
1639,96002 (Redding),96002,39.5,39.5,137482500.0,61919.42863440633,1756054174172,Synapse54,1756054174172,Synapse54
1640,96003 (Redding),96003,42.8,42.8,558244431.8242188,290745.471164651,1756054174172,Synapse54,1756054174172,Synapse54
1641,96006 (Adin),96006,58.4,58.4,14272500.0,18505.68479481239,1756054174172,Synapse54,1756054174172,Synapse54
1642,96007 (Anderson),96007,42.0,42.0,554560000.0,190530.45748281383,1756054174172,Synapse54,1756054174172,Synapse54
1643,96008 (Bella Vista),96008,50.1,50.1,307155000.0,156503.05475430202,1756054174172,Synapse54,1756054174172,Synapse54
1644,96009 (Bieber),96009,44.6,44.6,7697500.0,13801.486383987241,1756054174172,Synapse54,1756054174172,Synapse54
1645,96010 (Big Bar),96010,48.6,48.6,793493750.0,187588.37351085432,1756054174172,Synapse54,1756054174172,Synapse54
1646,96013 (Burney),96013,46.5,46.5,1529292500.0,297058.2694646901,1756054174172,Synapse54,1756054174172,Synapse54
1647,96014 (Callahan),96014,55.0,55.0,608261250.0,239598.3630543971,1756054174172,Synapse54,1756054174172,Synapse54
1648,96015 (Canby),96015,47.7,47.7,1526682500.0,252912.52624768842,1756054174172,Synapse54,1756054174172,Synapse54
1649,96016 (Cassel),96016,55.2,55.2,252056250.0,92421.57931006292,1756054174172,Synapse54,1756054174172,Synapse54
1650,96017 (Castella),96017,45.0,45.0,71351250.0,60414.1190763448,1756054174172,Synapse54,1756054174172,Synapse54
1651,96019 (Shasta Lake),96019,41.7,41.7,54131250.0,45129.41441526073,1756054174172,Synapse54,1756054174172,Synapse54
1652,96020 (Chester),96020,55.5,55.5,1401717500.0,300240.6630942751,1756054174172,Synapse54,1756054174172,Synapse54
1653,96021 (Corning),96021,37.1,37.1,2629053750.0,393337.9323249084,1756054174172,Synapse54,1756054174172,Synapse54
1654,96022 (Cottonwood),96022,43.2,43.2,1369197500.0,302997.9129606354,1756054174172,Synapse54,1756054174172,Synapse54
1655,96023 (Dorris),96023,41.6,41.6,714516250.0,138776.75140235134,1756054174172,Synapse54,1756054174172,Synapse54
1656,96024 (Douglas City),96024,55.8,55.8,664108750.0,153138.37081977248,1756054174172,Synapse54,1756054174172,Synapse54
1657,96025 (Dunsmuir),96025,50.7,50.7,390286250.0,129498.01126336463,1756054174172,Synapse54,1756054174172,Synapse54
1658,96027 (Etna),96027,51.1,51.1,1102635000.0,238205.70070883504,1756054174172,Synapse54,1756054174172,Synapse54
1659,96028 (Fall River Mills),96028,49.3,49.3,592877500.0,156850.25489993015,1756054174172,Synapse54,1756054174172,Synapse54
1660,96031 (Forks of Salmon),96031,49.4,49.4,1863326250.0,345431.8875706986,1756054174172,Synapse54,1756054174172,Synapse54
1661,96032 (Fort Jones),96032,48.7,48.7,1376147500.0,310696.1350548878,1756054174172,Synapse54,1756054174172,Synapse54
1662,96033 (French Gulch),96033,56.3,56.3,961601250.0,218215.1786238145,1756054174172,Synapse54,1756054174172,Synapse54
1663,96034 (Gazelle),96034,50.8,50.8,475455000.0,173796.11898438673,1756054174172,Synapse54,1756054174172,Synapse54
1664,96035 (Gerber),96035,40.2,40.2,209581250.0,71261.57645058111,1756054174172,Synapse54,1756054174172,Synapse54
1665,96038 (Grenada),96038,48.8,48.8,105448750.0,58904.25464075483,1756054174172,Synapse54,1756054174172,Synapse54
1666,96039 (Happy Camp),96039,51.2,51.2,616602500.0,212283.2084846342,1756054174172,Synapse54,1756054174172,Synapse54
1667,96040 (Hat Creek),96040,52.8,52.8,497821250.0,157912.5103524775,1756054174172,Synapse54,1756054174172,Synapse54
1668,96041 (Hayfork),96041,44.0,44.0,1274428750.0,343131.33397943684,1756054174172,Synapse54,1756054174172,Synapse54
1669,96044 (Hornbrook),96044,54.3,54.3,569426250.0,163144.323657456,1756054174172,Synapse54,1756054174172,Synapse54
1670,96046 (Hyampom),96046,48.9,48.9,610713750.0,185011.80265569696,1756054174172,Synapse54,1756054174172,Synapse54
1671,96047 (Igo),96047,55.4,55.4,984718750.0,194967.34056665062,1756054174172,Synapse54,1756054174172,Synapse54
1672,96048 (Junction City),96048,50.9,50.9,574882500.0,183664.8350916964,1756054174172,Synapse54,1756054174172,Synapse54
1673,96050 (Klamath River),96050,50.7,50.7,1299045000.0,290378.5004783238,1756054174172,Synapse54,1756054174172,Synapse54
1674,96051 (Lakehead),96051,59.3,59.3,2189388750.0,386544.29139290703,1756054174172,Synapse54,1756054174172,Synapse54
1675,96052 (Lewiston),96052,55.2,55.2,1385233750.0,405640.7421213044,1756054174172,Synapse54,1756054174172,Synapse54
1676,96054 (Lookout),96054,55.6,55.6,1542418750.0,235170.83623767184,1756054174172,Synapse54,1756054174172,Synapse54
1677,96055 (Los Molinos),96055,45.9,45.9,145266250.0,64568.89209064573,1756054174172,Synapse54,1756054174172,Synapse54
1678,96056 (McArthur),96056,52.9,52.9,9628515000.0,669724.899739076,1756054174172,Synapse54,1756054174172,Synapse54
1679,96057 (McCloud),96057,62.0,62.0,877731250.0,186283.98488754456,1756054174172,Synapse54,1756054174172,Synapse54
1680,96058 (Macdoel),96058,45.6,45.6,2623386250.0,299137.3868757153,1756054174172,Synapse54,1756054174172,Synapse54
1681,96059 (Manton),96059,56.1,56.1,263906250.0,148853.33071670646,1756054174172,Synapse54,1756054174172,Synapse54
1682,96061 (Mill Creek),96061,47.3,47.3,533728750.0,149482.89802018428,1756054174172,Synapse54,1756054174172,Synapse54
1683,96062 (Millville),96062,52.4,52.4,276408750.0,146676.29981120458,1756054174172,Synapse54,1756054174172,Synapse54
1684,96063 (Mineral),96063,0.0,0.0,1893750.0,8451.042941590138,1756054174172,Synapse54,1756054174172,Synapse54
1685,96064 (Montague),96064,49.2,49.2,2839401250.0,329000.7372226487,1756054174172,Synapse54,1756054174172,Synapse54
1686,96065 (Montgomery Creek),96065,50.5,50.5,2652989318.1796875,384832.8578125145,1756054174172,Synapse54,1756054174172,Synapse54
