OBJECTID,DESCRIPTION,ID,P0YTENRENT,P0YTENRENT_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,"G0A (Sainte-Anne-De-Beaupre, QC)",G0A,8725,20.59,20.59,72760823790.5,3028971.212854449,1753799975476,Synapse54,1753799975476,Synapse54
2,"G0C (New Richmond, QC)",G0C,6697,30.02,30.02,22075337398.492188,967680.4043130332,1753799975476,Synapse54,1753799975476,Synapse54
3,"G0E (Grande-Vallee, QC)",G0E,564,24.33,24.33,17330251329.5,625766.1683453334,1753799975476,Synapse54,1753799975476,Synapse54
4,"G0G (Fermont, QC)",G0G,1715,25.85,25.85,488246740388.7383,13452850.295035336,1753799975476,Synapse54,1753799975476,Synapse54
5,"G0H (Pessamit, QC)",G0H,710,15.78,15.78,123893631441.5,3217405.6747955983,1753799975476,Synapse54,1753799975476,Synapse54
6,"G0J (Causapscal, QC)",G0J,3067,22.82,22.82,30795263589.0,1187342.219615261,1753799975476,Synapse54,1753799975476,Synapse54
7,"G0K (Sainte-Luce, QC)",G0K,1261,21.9,21.9,8964482448.5,530269.0600895187,1753799975476,Synapse54,1753799975476,Synapse54
8,"G0L (Trois-Pistoles, QC)",G0L,6796,24.73,24.73,23226305480.5,1017338.6635460304,1753799975476,Synapse54,1753799975476,Synapse54
9,"G0M (Saint-Prosper-De-Dorchester, QC)",G0M,3482,22.26,22.26,6354665678.5,678703.1375911924,1753799975476,Synapse54,1753799975476,Synapse54
10,"G0N (Disraeli, QC)",G0N,2212,23.33,23.33,3579667597.5,610336.508657239,1753799975476,Synapse54,1753799975476,Synapse54
11,"G0P (Ham-Nord, QC)",G0P,691,22.33,22.33,1964344449.0,415202.1877963802,1753799975476,Synapse54,1753799975476,Synapse54
12,"G0R (La Pocatiere, QC)",G0R,9497,24.56,24.56,17275130739.5,769075.2097201231,1753799975476,Synapse54,1753799975476,Synapse54
13,"G0S (Saint-Apollinaire, QC)",G0S,8087,23.22,23.22,7546000235.5,718279.0049398947,1753799975476,Synapse54,1753799975476,Synapse54
14,"G0T (Forestville, QC)",G0T,1691,28.02,28.02,20313438075.0,1270528.890385615,1753799975476,Synapse54,1753799975476,Synapse54
15,"G0V (Saint-Honore-De-Chicoutimi, QC)",G0V,1601,18.54,18.54,24624561090.5,1237538.7672922572,1753799975476,Synapse54,1753799975476,Synapse54
16,"G0W (Saint-Bruno-Lac-Saint-Jean, QC)",G0W,3472,22.4,22.4,380327320475.0,4323366.579971259,1753799975476,Synapse54,1753799975476,Synapse54
17,"G0X (Notre-Dame-Du-Mont-Carmel, QC)",G0X,6075,21.33,21.33,39978887685.5,2171889.905015521,1753799975476,Synapse54,1753799975476,Synapse54
18,"G0Y (Lac-Drolet, QC)",G0Y,831,17.45,17.45,3810924397.5,557635.8571484805,1753799975476,Synapse54,1753799975476,Synapse54
19,"G0Z (Daveluyville, QC)",G0Z,972,22.97,22.97,1313913827.0,254093.22841298912,1753799975476,Synapse54,1753799975476,Synapse54
20,"G1A (Quebec, QC)",G1A,0,0.0,0.0,82312.0,1266.954133788689,1753799975476,Synapse54,1753799975476,Synapse54
21,"G1B (Quebec, QC)",G1B,1145,15.26,15.26,87273797.0,41431.67400838665,1753799975476,Synapse54,1753799975476,Synapse54
22,"G1C (Quebec, QC)",G1C,6240,36.22,36.22,42832173.5,38990.399766328665,1753799975476,Synapse54,1753799975476,Synapse54
23,"G1E (Quebec, QC)",G1E,9384,62.12,62.12,21963715.5,24460.60804483201,1753799975476,Synapse54,1753799975476,Synapse54
